Zona;Provincia;Canton;Distrito;Circuito;fecha infraccion;dia;mes;anio;Hora Infracción;hora;minutos;segundos;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;EL COLORADO;21/5/2014;21;5;2014;21:30;21;30;0;Asesinatos;37;MASCULINO;CASADO;ECUADOR
ZONA 8;GUAYAS;DURAN;DURAN;RECREO;22/5/2014;22;5;2014;18:00;18;0;0;Asesinatos;40;MASCULINO;SOLTERO;ECUADOR
ZONA 3;COTOPAXI;LATACUNGA;LATACUNGA;GUAYTACAMA;23/5/2014;23;5;2014;3:00;3;0;0;Homicidios;63;MASCULINO;CASADO;ECUADOR
ZONA 3;CHIMBORAZO;RIOBAMBA;RIOBAMBA;LA CONDAMINE;24/5/2014;24;5;2014;5:30;5;30;0;Homicidios;27;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;SANTA_ROSA;SANTA ROSA;BELLA MARIA;24/5/2014;24;5;2014;8:00;8;0;0;Asesinatos;57;MASCULINO;CASADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;SOLANDA;25/5/2014;25;5;2014;2:29;2;29;0;Homicidios;42;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;CALDERON;GUAYLLABAMBA;25/5/2014;25;5;2014;1:15;1;15;0;Homicidios;29;MASCULINO;SOLTERO;ECUADOR
ZONA 6;CANAR;CANAR;CAÑAR;INGAPIRCA;25/5/2014;25;5;2014;1:45;1;45;0;Homicidios;21;MASCULINO;UNION LIBRE;ECUADOR
ZONA 4;MANABI;MANTA;MANTA;UNIVERSIDAD;25/5/2014;25;5;2014;7:45;7;45;0;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;CHILIBULO;26/5/2014;26;5;2014;3:30;3;30;0;Homicidios;28;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;VINCES;VINCES;ANTONIO SOTOMAYOR;25/5/2014;25;5;2014;20:30;20;30;0;Asesinatos;62;MASCULINO;UNION LIBRE;ECUADOR
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;NARANJAL SUR;26/5/2014;26;5;2014;12:30;12;30;0;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;MAGDALENA;26/5/2014;26;5;2014;12:30;12;30;0;Homicidios;29;MASCULINO;UNION LIBRE;ECUADOR
ZONA 6;CANAR;LA_TRONCAL;LA TRONCAL;TRONCAL CENTRO;4/2/2014;4;2;2014;15:00;15;0;0;Homicidios;54;MASCULINO;SOLTERO;ECUADOR
ZONA 6;CANAR;LA_TRONCAL;LA TRONCAL;TRONCAL OESTE;24/4/2014;24;4;2014;22:50;22;50;0;Homicidios;30;MASCULINO;SOLTERO;ECUADOR
ZONA 6;CANAR;BIBLIAN;AZOGUES;BIBLIAN;16/3/2014;16;3;2014;19:45;19;45;0;Homicidios;17;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;SAN MATEO;27/5/2014;27;5;2014;15:50;15;50;0;Asesinatos;57;MASCULINO;DIVORCIADO;ECUADOR
ZONA 4;MANABI;PUERTO_LOPEZ;JIPIJAPA;PUERTO LOPEZ;27/5/2014;27;5;2014;12:00;12;0;0;Homicidios;20;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;LA BOTA;28/5/2014;28;5;2014;12:30;12;30;0;Homicidios;18;MASCULINO;SOLTERO;ECUADOR
ZONA 6;AZUAY;CUENCA;CUENCA NORTE;TOTORACOCHA;29/5/2014;29;5;2014;0:31;0;31;0;Asesinatos;43;FEMENINO;DIVORCIADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;28/5/2014;28;5;2014;21:00;21;0;0;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 2;NAPO;CARLOS_JULIO_AROSEMENA_TOLA;TENA;AROSEMENA TOLA;22/3/2014;22;3;2014;12:00;12;0;0;Asesinatos;76;MASCULINO;VIUDO;ECUADOR
ZONA 7;EL_ORO;EL_GUABO;PASAJE;LA IBERIA;30/5/2014;30;5;2014;0:30;0;30;0;Asesinatos;30;FEMENINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;GENERAL_ANTONIO_ELIZALDE;EL TRIUNFO BUCAY;BUCAY;29/5/2014;29;5;2014;20:30;20;30;0;Asesinatos;35;MASCULINO;CASADO;ECUADOR
ZONA 1;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;SHUSHUFINDI CENTRO;31/5/2014;31;5;2014;5:30;5;30;0;Asesinatos;47;MASCULINO;CASADO;ECUADOR
ZONA 1;ESMERALDAS;QUININDE;QUININDE;CUPA;30/5/2014;30;5;2014;0:00;0;0;0;Asesinatos;41;MASCULINO;SOLTERO;ECUADOR
ZONA 3;COTOPAXI;LA_MANA;LA MANA;LA MANA SUR;31/5/2014;31;5;2014;4:30;4;30;0;Asesinatos;27;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;SOLANDA;31/5/2014;31;5;2014;22:00;22;0;0;Homicidios;17;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;POMASQUI;31/5/2014;31;5;2014;20:30;20;30;0;Homicidios;36;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;BASTION POPULAR SUR;31/5/2014;31;5;2014;3:30;3;30;0;Asesinatos;33;MASCULINO;SOLTERO;ECUADOR
